,cover,quantile_50,quantile_5,quantile_95,time
1,Evergreen needleleaf forest,10.94,6.48,17.31,annual
2,Evergreen broadleaf forest,5.22,2.6,9.5,annual
3,Deciduous needleleaf forest,12.06,8.12,15.93,annual
4,Deciduous broadleaf forest,3.51,2.18,6.71,annual
5,Mixed forest,7.92,4.3,12.47,annual
6,Shrubland,11.6,2.41,45.82,annual
7,Savanna,2.6,1.51,9.95,annual
8,Grassland,4.97,1.43,26.36,annual
9,Cropland,3.42,1.57,7.28,annual
