"","vegetation","median","ci5","ci95"
"1","cropland",3.27,1.6,7.6
"2","forest",6.9,2.69,16.37
"3","grassland",4.86,1.81,17.94
"4","shrubland",2.74,1.66,7.69
"5","tundra",15.95,8.88,29.29
