"","veg","median","X5th","X95th","coef"
"aridity.1","cropland",-0.263421470593564,-0.556419062912303,0.0339764336572758,"aridity"
"aridity.2","forest",0.105448490935241,-0.0822388224488802,0.288941350189885,"aridity"
"aridity.3","grassland",0.0943431724045934,-0.221963888045295,0.327225475911581,"aridity"
"aridity.4","shrubland",-0.659954878573953,-1.04280036690756,-0.294461276254314,"aridity"
"aridity.5","tundra",-0.164954363115204,-0.323756399513678,-0.018857263115222,"aridity"
"ppt.1","cropland",-0.000362597798843929,-0.00055012169090566,-0.000181236306527312,"ppt"
"ppt.2","forest",-0.000344147665555208,-0.000485870288665286,-0.00023335900752331,"ppt"
"ppt.3","grassland",-0.000595571303837571,-0.000824024322871915,-0.000356884583851006,"ppt"
"ppt.4","shrubland",-0.000490140491685979,-0.000707699105505439,-0.000277134059163159,"ppt"
"ppt.5","tundra",-0.00032716248337266,-0.000616388355897826,-5.29556376107479e-05,"ppt"
"pet.1","cropland",-0.246819781865396,-0.323852897149177,-0.173868393477222,"pet"
"pet.2","forest",-0.321833950889821,-0.368407838934916,-0.276887486624959,"pet"
"pet.3","grassland",-0.438247967250068,-0.52288190377337,-0.359752841171869,"pet"
"pet.4","shrubland",-0.324267624496216,-0.485878064340863,-0.161535210239006,"pet"
"pet.5","tundra",-0.0749850570515366,-0.373452543279043,0.226639522147362,"pet"
