"","vegetation","median","ci5","ci95"
"1","VWC_cropland_minimum_transit",1.22,0.39,3.14
"2","VWC_forest_minimum_transit",2.75,1.35,5.17
"3","VWC_grassland_minimum_transit",1.78,0.66,5.09
"4","VWC_shrubland_minimum_transit",1.64,0.89,3.54
"5","VWC_tundra_minimum_transit",3.39,1.73,6.67
