"","veg","median","X5th","X95th","coef"
"aridity.1","cropland",-0.168932692732472,-0.645505162209171,0.275649491071671,"aridity"
"aridity.2","forest",0.208118493671661,0.0841745717568613,0.336007470805625,"aridity"
"aridity.3","grassland",0.176801374075101,-0.0680598399026192,0.375527009339698,"aridity"
"aridity.4","shrubland",-0.301404026981797,-0.636916584543087,0.0192569218297662,"aridity"
"aridity.5","tundra",-0.167278454401941,-0.366836109494002,-0.000313745941716787,"aridity"
"ppt.1","cropland",8.42093639859275e-06,-0.000343873772625255,0.000264867873675974,"ppt"
"ppt.2","forest",9.94875004346468e-05,8.54557790361023e-06,0.000176579224488401,"ppt"
"ppt.3","grassland",-5.39393934867309e-05,-0.000262691080101377,0.000146384839439708,"ppt"
"ppt.4","shrubland",-0.000220875534387004,-0.000452534121791934,-3.72009441602323e-05,"ppt"
"ppt.5","tundra",-0.000264690550510322,-0.000639786391004142,3.72395587564789e-05,"ppt"
"pet.1","cropland",0.0655504039839093,-0.0846304826155833,0.196619920024685,"pet"
"pet.2","forest",-0.00153602798429882,-0.0479711706954234,0.0470274796412255,"pet"
"pet.3","grassland",-0.0965246134954714,-0.182135201874196,-0.0168591078433799,"pet"
"pet.4","shrubland",-0.178210707699864,-0.327538840367984,-0.021680760867663,"pet"
"pet.5","tundra",0.151306390126093,-0.181863461641781,0.491498305071989,"pet"
